,Winner,RedFighter,BlueFighter,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,HeightDif,ReachDif,AgeDif,Finish,HeightAdvantage,ReachAdvantage,AgeAdvantage
1874,Red,Nasrat Haqparast,Rafa Garcia,170.18,177.8,155,177.8,182.88,155,25,26,-7.62,-5.08,1,U-DEC,1.0,1.0,0.0
1877,Red,Matthew Semelsberger,Jason Witt,177.8,177.8,170,185.42,190.5,170,28,34,-7.62,-12.7,6,KO/TKO,1.0,1.0,0.0
1878,Red,Jan Blachowicz,Israel Adesanya,193.04,203.2,185,187.96,198.12,205,38,31,5.08,5.08,-7,U-DEC,0.0,0.0,1.0
1879,Red,Amanda Nunes,Megan Anderson,182.88,182.88,145,172.72,175.26,145,32,31,10.16,7.62,-1,SUB,0.0,0.0,1.0
1881,Red,Islam Makhachev,Drew Dober,172.72,177.8,155,177.8,177.8,155,29,32,-5.08,0.0,3,SUB,1.0,,0.0
1883,Red,Dominick Cruz,Casey Kenney,170.18,172.72,140,172.72,172.72,135,35,29,-2.54,0.0,-6,S-DEC,1.0,,1.0
1887,Red,Tim Elliott,Jordan Espinosa,167.64,175.26,125,170.18,167.64,125,34,31,-2.54,7.62,-3,U-DEC,1.0,0.0,1.0
1888,Red,Kennedy Nzechukwu,Carlos Ulberg,193.04,195.58,205,195.58,210.82,205,28,30,-2.54,-15.24,2,KO/TKO,1.0,1.0,0.0
1889,Red,Sean Brady,Jake Matthews,180.34,185.42,170,177.8,182.88,170,28,26,2.54,2.54,-2,SUB,0.0,0.0,1.0
1891,Red,Uros Medic,Aalon Cruz,182.88,198.12,145,185.42,180.34,155,27,31,-2.54,17.78,4,KO/TKO,1.0,0.0,0.0
1895,Red,Pedro Munhoz,Jimmie Rivera,162.56,172.72,135,167.64,165.1,135,34,31,-5.08,7.62,-3,U-DEC,1.0,0.0,1.0
1896,Red,Alex Caceres,Kevin Croom,180.34,185.42,155,177.8,185.42,145,32,33,2.54,0.0,1,U-DEC,0.0,,0.0
1898,Red,Alexis Davis,Sabina Mazo,170.18,177.8,135,167.64,172.72,135,36,23,2.54,5.08,-13,U-DEC,0.0,0.0,1.0
