,Winner,RedFighter,BlueFighter,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,HeightDif,ReachDif,AgeDif,Finish,HeightAdvantage,ReachAdvantage,AgeAdvantage
2,Red,Gaston Bolanos,Cortavious Romious,162.56,172.72,135,170.18,175.26,135,32,30,-7.62,-2.54,-2,U-DEC,1.0,1.0,1.0
4,Red,Mansur Abdul-Malik,Dusko Todorovic,185.42,187.96,185,187.96,200.66,185,27,30,-2.54,-12.7,3,KO/TKO,1.0,1.0,0.0
6,Red,Elizeu Zaleski dos Santos,Zachary Scroggin,190.5,187.96,170,180.34,185.42,170,37,28,10.16,2.54,-9,KO/TKO,0.0,0.0,1.0
9,Red,Tresean Gore,Antonio Trocoli,198.12,200.66,185,182.88,190.5,185,30,33,15.24,10.16,3,SUB,0.0,0.0,0.0
10,Red,Melissa Mullins,Klaudia Sygula,172.72,175.26,135,170.18,172.72,135,33,25,2.54,2.54,-8,KO/TKO,0.0,0.0,1.0
11,Red,Brandon Moreno,Amir Albazi,165.1,172.72,125,170.18,177.8,125,30,31,-5.08,-5.08,1,U-DEC,1.0,1.0,0.0
12,Red,Erin Blanchfield,Rose Namajunas,165.1,165.1,125,162.56,167.64,125,25,32,2.54,-2.54,7,U-DEC,0.0,1.0,0.0
16,Red,Mike Malott,Trevin Giles,182.88,187.96,170,185.42,185.42,170,32,32,-2.54,2.54,0,U-DEC,1.0,0.0,
17,Red,Aiemann Zahabi,Pedro Munhoz,167.64,165.1,135,172.72,172.72,135,36,38,-5.08,-7.62,2,U-DEC,1.0,1.0,0.0
18,Red,Charles Jourdain,Victor Henry,170.18,172.72,135,175.26,175.26,135,28,37,-5.08,-2.54,9,SUB,1.0,1.0,0.0
20,Red,Alexandr Romanov,Rodrigo Nascimento,187.96,203.2,246,187.96,190.5,262,33,31,0.0,12.7,-2,U-DEC,,0.0,1.0
21,Red,Serhiy Sidey,Garrett Armfield,167.64,177.8,135,180.34,182.88,135,28,28,-12.7,-5.08,0,S-DEC,1.0,1.0,
23,Red,Jamey-Lyn Horth,Ivana Petrovic,172.72,177.8,125,170.18,167.64,125,34,30,2.54,10.16,-4,S-DEC,0.0,0.0,1.0
24,Red,Ilia Topuria,Max Holloway,180.34,175.26,145,170.18,175.26,145,27,32,10.16,0.0,5,KO/TKO,0.0,,0.0
26,Red,Magomed Ankalaev,Aleksandar Rakic,193.04,198.12,205,190.5,190.5,205,32,32,2.54,7.62,0,U-DEC,0.0,0.0,
27,Red,Lerone Murphy,Dan Ige,170.18,180.34,145,175.26,185.42,145,33,33,-5.08,-5.08,0,U-DEC,1.0,1.0,
28,Red,Shara Magomedov,Armen Petrosyan,190.5,180.34,185,187.96,185.42,185,30,33,2.54,-5.08,3,KO/TKO,0.0,1.0,0.0
29,Red,Ibo Aslan,Rafael Cerqueira,190.5,193.04,205,190.5,195.58,205,28,34,0.0,-2.54,6,KO/TKO,,1.0,0.0
30,Red,Geoff Neal,Rafael Dos Anjos,172.72,177.8,170,180.34,190.5,170,34,40,-7.62,-12.7,6,KO/TKO,1.0,1.0,0.0
31,Red,Mateusz Rebecki,Myktybek Orolbai,177.8,187.96,155,170.18,167.64,155,31,26,7.62,20.32,-5,S-DEC,0.0,0.0,1.0
32,Red,Abus Magomedov,Brunno Ferreira,177.8,182.88,185,187.96,198.12,185,34,31,-10.16,-15.24,-3,SUB,1.0,1.0,1.0
33,Red,Kennedy Nzechukwu,Chris Barnett,175.26,190.5,265,195.58,210.82,205,32,38,-20.32,-20.32,6,KO/TKO,1.0,1.0,0.0
34,Red,Farid Basharat,Victor Hugo,170.18,180.34,135,172.72,180.34,135,27,31,-2.54,0.0,4,U-DEC,1.0,,0.0
35,Red,Ismail Naurdiev,Bruno Silva,182.88,187.96,185,177.8,187.96,185,28,35,5.08,0.0,7,U-DEC,0.0,,0.0
36,Red,Rinat Fakhretdinov,Carlos Leal,180.34,187.96,170,182.88,187.96,170,33,30,-2.54,0.0,-3,U-DEC,1.0,,1.0
37,Red,Anthony Hernandez,Michel Pereira,185.42,185.42,185,182.88,190.5,185,31,31,2.54,-5.08,0,KO/TKO,0.0,1.0,
38,Red,Rob Font,Kyler Phillips,172.72,182.88,135,172.72,180.34,135,37,29,0.0,2.54,-8,U-DEC,,0.0,1.0
39,Red,Charles Johnson,Sumudaerji,172.72,182.88,125,175.26,177.8,125,33,28,-2.54,5.08,-5,U-DEC,1.0,0.0,1.0
41,Red,Darren Elkins,Daniel Pineda,170.18,175.26,145,177.8,180.34,145,40,39,-7.62,-5.08,-1,U-DEC,1.0,1.0,1.0
44,Red,Joselyne Edwards,Tamires Vidal,167.64,172.72,135,172.72,177.8,135,29,26,-5.08,-5.08,-3,SUB,1.0,1.0,1.0
46,Red,Melissa Martinez,Alice Ardelean,160.02,157.48,115,157.48,167.64,115,27,32,2.54,-10.16,5,U-DEC,0.0,1.0,0.0
47,Red,Austen Lane,Robelis Despaigne,200.66,213.36,265,198.12,203.2,245,36,36,2.54,10.16,0,U-DEC,0.0,0.0,
48,Red,Brandon Royval,Tatsuro Taira,170.18,177.8,125,175.26,172.72,125,32,24,-5.08,5.08,-8,S-DEC,1.0,0.0,1.0
50,Red,Chidi Njokuani,Jared Gooden,182.88,195.58,170,190.5,203.2,170,35,30,-7.62,-7.62,-5,U-DEC,1.0,1.0,1.0
51,Red,Grant Dawson,Rafa Garcia,170.18,177.8,155,177.8,182.88,155,30,30,-7.62,-5.08,0,KO/TKO,1.0,1.0,
52,Red,Daniel Rodriguez,Alex Morono,180.34,182.88,170,185.42,187.96,170,37,34,-5.08,-5.08,-3,S-DEC,1.0,1.0,1.0
55,Red,Themba Gorimbo,Niko Price,182.88,193.04,170,185.42,195.58,170,33,35,-2.54,-2.54,2,U-DEC,1.0,1.0,0.0
56,Red,Junior Tafa,Sean Sharaf,190.5,195.58,252,190.5,190.5,240,28,31,0.0,5.08,3,KO/TKO,,0.0,0.0
57,Red,Julia Polastri,Cory McKenna,160.02,147.32,115,157.48,160.02,115,26,25,2.54,-12.7,-1,S-DEC,0.0,1.0,1.0
59,Red,Clayton Carpenter,Lucas Rocha,160.02,162.56,125,167.64,167.64,125,28,24,-7.62,-5.08,-4,SUB,1.0,1.0,1.0
60,Red,Alex Pereira,Khalil Rountree Jr.,185.42,193.04,205,193.04,200.66,205,37,34,-7.62,-7.62,-3,KO/TKO,1.0,1.0,1.0
63,Red,Roman Dolidze,Kevin Holland,190.5,205.74,185,187.96,193.04,185,36,31,2.54,12.7,-5,KO/TKO,0.0,0.0,1.0
68,Red,Cesar Almeida,Ihor Potieria,190.5,190.5,185,185.42,187.96,185,36,28,5.08,2.54,-8,U-DEC,0.0,0.0,1.0
69,Red,Ryan Spann,Ovince Saint Preux,190.5,203.2,205,195.58,200.66,205,33,41,-5.08,2.54,8,SUB,1.0,0.0,0.0
71,Red,Court McGee,Tim Means,187.96,190.5,170,180.34,190.5,170,39,40,7.62,0.0,1,SUB,0.0,,0.0
72,Red,Renato Moicano,Benoit Saint Denis,180.34,185.42,155,180.34,182.88,155,35,28,0.0,2.54,-7,KO/TKO,,0.0,1.0
73,Red,Nassourdine Imavov,Brendan Allen,187.96,190.5,185,190.5,190.5,185,29,28,-2.54,0.0,-1,U-DEC,1.0,,1.0
74,Red,William Gomis,Joanderson Brito,172.72,182.88,145,182.88,185.42,145,27,29,-10.16,-2.54,2,S-DEC,1.0,1.0,0.0
76,Red,Morgan Charriere,Gabriel Miranda,180.34,180.34,145,172.72,175.26,145,28,34,7.62,5.08,6,KO/TKO,0.0,0.0,0.0
77,Red,Fares Ziam,Matt Frevola,175.26,180.34,155,185.42,190.5,155,27,34,-10.16,-10.16,7,KO/TKO,1.0,1.0,0.0
78,Red,Ion Cutelaba,Ivan Erslan,187.96,182.88,205,185.42,190.5,205,30,32,2.54,-7.62,2,S-DEC,0.0,1.0,0.0
79,Red,Oumar Sy,Da Woon Jung,193.04,198.12,205,193.04,210.82,205,28,30,0.0,-12.7,2,U-DEC,,1.0,0.0
80,Red,Ludovit Klein,Roosevelt Roberts,187.96,185.42,155,170.18,182.88,155,29,30,17.78,2.54,1,U-DEC,0.0,0.0,0.0
81,Red,Taylor Lapilus,Vince Morales,170.18,177.8,135,167.64,185.42,135,32,33,2.54,-7.62,1,U-DEC,0.0,1.0,0.0
82,Red,Ailin Perez,Daria Zhelezniakova,175.26,172.72,135,165.1,167.64,135,29,28,10.16,5.08,-1,SUB,0.0,0.0,1.0
83,Red,Daniel Barez,Victor Altamirano,172.72,177.8,125,167.64,167.64,125,35,33,5.08,10.16,-2,U-DEC,0.0,0.0,1.0
90,Red,Ronaldo Rodriguez,Ode Osbourne,170.18,185.42,125,167.64,165.1,125,25,32,2.54,20.32,7,U-DEC,0.0,0.0,0.0
95,Red,Raul Rosas Jr.,Aoriqileng,170.18,175.26,135,175.26,170.18,135,19,31,-5.08,5.08,12,U-DEC,1.0,0.0,0.0
98,Red,Steve Garcia,Kyle Nelson,180.34,180.34,145,182.88,190.5,145,32,33,-2.54,-10.16,1,KO/TKO,1.0,1.0,0.0
102,Red,Isaac Dulgarian,Brendon Marotte,175.26,177.8,145,170.18,180.34,145,28,28,5.08,-2.54,0,SUB,0.0,1.0,
105,Red,Jaqueline Amorim,Vanessa Demopoulos,157.48,149.86,115,160.02,172.72,115,29,35,-2.54,-22.86,6,SUB,1.0,1.0,0.0
106,Red,Andre Petroski,Dylan Budka,182.88,190.5,185,182.88,185.42,185,33,24,0.0,5.08,-9,U-DEC,,0.0,1.0
115,Red,Zachary Reese,Jose Daniel Medina,182.88,187.96,185,193.04,195.58,185,30,33,-10.16,-7.62,3,U-DEC,1.0,1.0,0.0
116,Red,Viacheslav Borshchev,James Llontop,182.88,185.42,155,180.34,175.26,155,32,25,2.54,10.16,-7,S-DEC,0.0,0.0,1.0
117,Red,Jacqueline Cavalcanti,Josiane Nunes,157.48,170.18,135,172.72,177.8,135,26,30,-15.24,-7.62,4,S-DEC,1.0,1.0,0.0
118,Red,Wang Cong,Victoria Leonardo,165.1,162.56,125,167.64,167.64,125,32,34,-2.54,-5.08,2,KO/TKO,1.0,1.0,0.0
119,Red,Dricus Du Plessis,Israel Adesanya,193.04,203.2,185,185.42,193.04,185,30,35,7.62,10.16,5,SUB,0.0,0.0,0.0
120,Red,Kai Kara-France,Steve Erceg,172.72,172.72,125,162.56,175.26,125,31,29,10.16,-2.54,-2,KO/TKO,0.0,1.0,1.0
126,Red,Casey O'Neill,Luana Santos,167.64,170.18,125,167.64,175.26,125,26,24,0.0,-5.08,-2,U-DEC,,1.0,1.0
127,Red,Jack Jenkins,Herbert Burns,175.26,185.42,145,170.18,172.72,145,30,36,5.08,12.7,6,KO/TKO,0.0,0.0,0.0
128,Red,Tom Nolan,Alex Reyes,180.34,185.42,155,190.5,185.42,155,24,37,-10.16,0.0,13,U-DEC,1.0,,0.0
129,Red,Song Kenan,Ricky Glenn,182.88,177.8,170,182.88,180.34,170,34,35,0.0,-2.54,1,U-DEC,,1.0,0.0
133,Red,Danny Barlow,Nikolay Veretennikov,185.42,190.5,170,187.96,200.66,170,29,34,-2.54,-10.16,5,S-DEC,1.0,1.0,0.0
134,Red,Chris Gutierrez,Quang Le,167.64,177.8,135,175.26,170.18,135,33,32,-7.62,7.62,-1,U-DEC,1.0,0.0,1.0
135,Red,Yana Santos,Chelsea Chandler,172.72,172.72,135,167.64,172.72,135,34,33,5.08,0.0,-1,U-DEC,0.0,,1.0
136,Red,Toshiomi Kazama,Charalampos Grigoriou,170.18,170.18,135,170.18,175.26,135,27,32,0.0,-5.08,5,SUB,,1.0,0.0
137,Red,Karol Rosa,Pannie Kianzad,170.18,167.64,135,165.1,170.18,135,29,32,5.08,-2.54,3,U-DEC,0.0,1.0,0.0
138,Red,Jhonata Diniz,Karl Williams,190.5,200.66,235,193.04,200.66,254,33,34,-2.54,0.0,1,U-DEC,1.0,,0.0
139,Red,Youssef Zalal,Jarno Errens,180.34,185.42,145,177.8,182.88,145,27,29,2.54,2.54,2,SUB,0.0,0.0,0.0
140,Red,Stephanie Luciano,Talita Alencar,154.94,147.32,115,167.64,165.1,115,24,33,-12.7,-17.78,9,U-DEC,1.0,1.0,0.0
142,Red,Shara Magomedov,Michal Oleksiejczuk,182.88,187.96,185,187.96,185.42,185,30,29,-5.08,2.54,-1,U-DEC,1.0,0.0,1.0
145,Red,Mackenzie Dern,Loopy Godinez,157.48,154.94,115,162.56,160.02,115,31,30,-5.08,-5.08,-1,U-DEC,1.0,1.0,1.0
146,Red,Joel Alvarez,Elves Brener,177.8,182.88,155,190.5,195.58,155,31,26,-12.7,-12.7,-5,KO/TKO,1.0,1.0,1.0
147,Red,Azamat Murzakanov,Alonzo Menifield,182.88,193.04,205,177.8,180.34,205,35,36,5.08,12.7,1,KO/TKO,0.0,0.0,0.0
149,Red,Shamil Gaziev,Don'Tale Mayes,198.12,205.74,260,193.04,198.12,265,34,32,5.08,7.62,-2,U-DEC,0.0,0.0,1.0
150,Red,Guram Kutateladze,Jordan Vucenic,177.8,185.42,155,180.34,182.88,155,32,28,-2.54,2.54,-4,U-DEC,1.0,0.0,1.0
152,Red,Jai Herbert,Rolando Bedoya,180.34,187.96,155,185.42,195.58,155,36,27,-5.08,-7.62,-9,U-DEC,1.0,1.0,1.0
153,Red,Sedriques Dumas,Denis Tiuliulin,185.42,195.58,185,187.96,200.66,185,28,36,-2.54,-5.08,8,U-DEC,1.0,1.0,0.0
155,Red,Tom Aspinall,Curtis Blaydes,193.04,203.2,265,195.58,198.12,256,31,33,-2.54,5.08,2,KO/TKO,1.0,0.0,0.0
158,Red,Arnold Allen,Giga Chikadze,182.88,187.96,145,172.72,177.8,145,30,35,10.16,10.16,5,U-DEC,0.0,0.0,0.0
159,Red,Nathaniel Wood,Daniel Pineda,170.18,175.26,145,167.64,175.26,145,31,38,2.54,0.0,7,U-DEC,0.0,,0.0
161,Red,Jake Hadley,Caolan Loughran,167.64,172.72,135,170.18,177.8,135,27,28,-2.54,-5.08,1,U-DEC,1.0,1.0,0.0
162,Red,Muhammad Mokaev,Manel Kape,165.1,172.72,125,170.18,177.8,125,23,30,-5.08,-5.08,7,U-DEC,1.0,1.0,0.0
163,Red,Oban Elliott,Preston Parsons,180.34,180.34,170,182.88,182.88,170,26,29,-2.54,-2.54,3,U-DEC,1.0,1.0,0.0
164,Red,Modestas Bukauskas,Marcin Prachnio,190.5,187.96,205,190.5,198.12,205,30,36,0.0,-10.16,6,SUB,,1.0,0.0
165,Red,Sam Patterson,Kiefer Crosbie,180.34,177.8,170,190.5,198.12,170,28,34,-10.16,-20.32,6,SUB,1.0,1.0,0.0
166,Red,Mick Parkin,Lukasz Brzeski,193.04,198.12,236,193.04,200.66,265,28,32,0.0,-2.54,4,KO/TKO,,1.0,0.0
167,Red,Shauna Bannon,Alice Ardelean,160.02,157.48,115,165.1,165.1,115,30,32,-5.08,-7.62,2,S-DEC,1.0,1.0,0.0
169,Red,Steve Garcia,SeungWoo Choi,182.88,187.96,145,182.88,190.5,145,32,31,0.0,-2.54,-1,KO/TKO,,1.0,1.0
170,Red,Kurt Holobaugh,Kaynan Kruschewsky,182.88,185.42,155,180.34,177.8,155,37,33,2.54,7.62,-4,U-DEC,0.0,0.0,1.0
172,Red,Dooho Choi,Bill Algeo,182.88,185.42,145,177.8,177.8,145,33,35,5.08,7.62,2,KO/TKO,0.0,0.0,0.0
175,Red,Miranda Maverick,Dione Barbosa,167.64,167.64,125,160.02,165.1,125,27,32,7.62,2.54,5,U-DEC,0.0,0.0,0.0
177,Red,Luana Carolina,Lucie Pudilova,172.72,170.18,125,167.64,175.26,125,31,30,5.08,-5.08,-1,U-DEC,0.0,1.0,1.0
179,Red,Rose Namajunas,Tracy Cortez,165.1,165.1,125,165.1,165.1,125,32,30,0.0,0.0,-2,U-DEC,,,1.0
182,Red,Gabriel Bonfim,Ange Loosa,177.8,187.96,170,185.42,182.88,170,26,31,-7.62,5.08,5,U-DEC,1.0,0.0,0.0
183,Red,Julian Erosa,Christian Rodriguez,170.18,180.34,145,185.42,187.96,145,34,26,-15.24,-7.62,-8,SUB,1.0,1.0,1.0
185,Red,Jasmine Jasudavicius,Fatima Kline,167.64,170.18,115,170.18,172.72,125,35,24,-2.54,-2.54,-11,U-DEC,1.0,1.0,1.0
186,Red,Montel Jackson,Da'Mon Blackshear,177.8,182.88,135,177.8,190.5,135,32,29,0.0,-7.62,-3,KO/TKO,,1.0,1.0
187,Red,Luana Santos,Mariya Agapova,167.64,172.72,125,167.64,170.18,125,24,27,0.0,2.54,3,SUB,,0.0,0.0
189,Red,Evan Elder,Darrius Flowers,175.26,180.34,155,177.8,182.88,155,27,29,-2.54,-2.54,2,SUB,1.0,1.0,0.0
190,Red,Alex Pereira,Jiri Prochazka,190.5,203.2,205,193.04,200.66,205,36,31,-2.54,2.54,-5,KO/TKO,1.0,0.0,1.0
194,Red,Ian Machado Garry,Michael Page,190.5,200.66,170,190.5,187.96,170,26,37,0.0,12.7,11,U-DEC,,0.0,0.0
195,Red,Joe Pyfer,Marc-Andre Barriault,185.42,187.96,185,187.96,190.5,185,27,34,-2.54,-2.54,7,KO/TKO,1.0,1.0,0.0
198,Red,Payton Talbott,Yanis Ghemmouri,175.26,175.26,135,177.8,177.8,135,25,29,-2.54,-2.54,4,KO/TKO,1.0,1.0,0.0
201,Red,Rei Tsuruya,Carlos Hernandez,172.72,170.18,125,167.64,172.72,125,22,30,5.08,-2.54,8,U-DEC,0.0,1.0,0.0
203,Red,Robert Whittaker,Ikram Aliskerov,182.88,193.04,185,182.88,185.42,185,33,31,0.0,7.62,-2,KO/TKO,,0.0,1.0
205,Red,Kelvin Gastelum,Daniel Rodriguez,185.42,187.96,170,175.26,180.34,170,32,37,10.16,7.62,5,U-DEC,0.0,0.0,0.0
206,Red,Shara Magomedov,Antonio Trocoli,195.58,203.2,185,187.96,185.42,185,30,33,7.62,17.78,3,KO/TKO,0.0,0.0,0.0
208,Red,Nasrat Haqparast,Jared Gordon,175.26,172.72,155,177.8,182.88,155,28,35,-2.54,-10.16,7,S-DEC,1.0,1.0,0.0
210,Red,Rinat Fakhretdinov,Nicolas Dalby,180.34,187.96,170,182.88,187.96,170,32,39,-2.54,0.0,7,S-DEC,1.0,,0.0
212,Red,Magomed Gadzhiyasulov,Brendson Ribeiro,190.5,205.74,205,187.96,190.5,205,30,27,2.54,15.24,-3,M-DEC,0.0,0.0,1.0
217,Red,Brady Hiestand,Garrett Armfield,167.64,177.8,135,172.72,180.34,135,25,27,-5.08,-2.54,2,SUB,1.0,1.0,0.0
218,Red,Asu Almabayev,Jose Johnson,182.88,180.34,125,162.56,165.1,125,30,29,20.32,15.24,-1,U-DEC,0.0,0.0,1.0
223,Red,Melquizael Costa,Shayilan Nuerdanbieke,172.72,175.26,145,177.8,180.34,145,27,30,-5.08,-5.08,3,SUB,1.0,1.0,0.0
224,Red,Josefine Knutsson,Julia Polastri,157.48,160.02,115,160.02,152.4,115,28,26,-2.54,7.62,-2,U-DEC,1.0,0.0,1.0
226,Red,Dominick Reyes,Dustin Jacoby,190.5,193.04,205,193.04,195.58,205,34,36,-2.54,-2.54,2,KO/TKO,1.0,1.0,0.0
227,Red,Raul Rosas Jr.,Ricky Turcios,175.26,180.34,135,175.26,170.18,135,19,31,0.0,10.16,12,SUB,,0.0,0.0
228,Red,Brunno Ferreira,Dustin Stoltzfus,182.88,190.5,185,177.8,182.88,185,31,32,5.08,7.62,1,KO/TKO,0.0,0.0,0.0
233,Red,Brad Katona,Jesse Butler,177.8,185.42,135,167.64,162.56,135,32,32,10.16,22.86,0,U-DEC,0.0,0.0,
239,Red,Islam Makhachev,Dustin Poirier,175.26,182.88,155,177.8,177.8,155,32,35,-2.54,5.08,3,SUB,1.0,0.0,0.0
240,Red,Sean Strickland,Paulo Costa,185.42,182.88,185,185.42,193.04,185,33,33,0.0,-10.16,0,S-DEC,,1.0,
241,Red,Kevin Holland,Michal Oleksiejczuk,182.88,187.96,185,190.5,205.74,185,31,29,-7.62,-17.78,-2,SUB,1.0,1.0,1.0
242,Red,Niko Price,Alex Morono,180.34,182.88,170,182.88,193.04,170,34,33,-2.54,-10.16,-1,U-DEC,1.0,1.0,1.0
243,Red,Randy Brown,Elizeu Zaleski dos Santos,180.34,185.42,170,190.5,198.12,170,33,37,-10.16,-12.7,4,U-DEC,1.0,1.0,0.0
245,Red,Jailton Almeida,Alexandr Romanov,187.96,190.5,262,190.5,200.66,205,32,33,-2.54,-10.16,1,SUB,1.0,1.0,0.0
246,Red,Grant Dawson,Joe Solecki,175.26,177.8,155,177.8,182.88,155,30,30,-2.54,-5.08,0,U-DEC,1.0,1.0,
249,Red,Ailin Perez,Joselyne Edwards,172.72,177.8,135,165.1,167.64,135,29,28,7.62,10.16,-1,U-DEC,0.0,0.0,1.0
252,Red,Khaos Williams,Carlston Harris,182.88,193.04,170,182.88,195.58,170,30,36,0.0,-2.54,6,KO/TKO,,1.0,0.0
253,Red,Themba Gorimbo,Ramiz Brahimaj,177.8,182.88,170,185.42,195.58,170,33,31,-7.62,-12.7,-2,U-DEC,1.0,1.0,1.0
254,Red,Adrian Yanez,Vinicius Salvador,170.18,177.8,135,170.18,177.8,135,30,27,0.0,0.0,-3,KO/TKO,,,1.0
257,Red,Oumar Sy,Tuco Tokkos,193.04,193.04,205,193.04,210.82,205,28,33,0.0,-17.78,5,SUB,,1.0,0.0
259,Red,Abus Magomedov,Warlley Alves,180.34,182.88,185,187.96,198.12,185,33,33,-7.62,-15.24,0,U-DEC,1.0,1.0,
261,Red,Alatengheili,Kleydson Rodrigues,165.1,170.18,135,165.1,167.64,135,32,28,0.0,2.54,-4,U-DEC,,0.0,1.0
262,Red,Vanessa Demopoulos,Emily Ducote,157.48,160.02,115,157.48,149.86,115,35,30,0.0,10.16,-5,S-DEC,,0.0,1.0
263,Red,Derrick Lewis,Rodrigo Nascimento,187.96,203.2,246,190.5,200.66,260,39,31,-2.54,2.54,-8,KO/TKO,1.0,0.0,1.0
264,Red,Joaquin Buckley,Nursulton Ruziboev,195.58,193.04,170,177.8,193.04,170,30,30,17.78,0.0,0,U-DEC,0.0,,
266,Red,Diego Ferreira,Mateusz Rebecki,170.18,167.64,155,175.26,187.96,155,39,31,-5.08,-20.32,-8,KO/TKO,1.0,1.0,1.0
268,Red,Waldo Cortes-Acosta,Robelis Despaigne,200.66,213.36,265,193.04,198.12,260,32,35,7.62,15.24,3,U-DEC,0.0,0.0,0.0
269,Red,Chase Hooper,Viacheslav Borshchev,180.34,175.26,155,185.42,187.96,155,24,32,-5.08,-12.7,8,SUB,1.0,1.0,0.0
271,Red,Tabatha Ricci,Tecia Pennington,154.94,152.4,115,154.94,154.94,115,29,34,0.0,-2.54,5,S-DEC,,1.0,0.0
273,Red,Charles Johnson,Jake Hadley,170.18,177.8,135,175.26,177.8,125,33,27,-5.08,0.0,-6,U-DEC,1.0,,1.0
275,Red,Alexandre Pantoja,Steve Erceg,172.72,172.72,125,165.1,170.18,125,34,28,7.62,2.54,-6,U-DEC,0.0,0.0,1.0
276,Red,Jose Aldo,Jonathan Martinez,172.72,177.8,135,170.18,177.8,135,37,30,2.54,0.0,-7,U-DEC,0.0,,1.0
277,Red,Anthony Smith,Vitor Petrino,187.96,195.58,205,193.04,193.04,205,35,26,-5.08,2.54,-9,SUB,1.0,0.0,1.0
278,Red,Michel Pereira,Ihor Potieria,190.5,190.5,185,185.42,185.42,185,30,27,5.08,5.08,-3,SUB,0.0,0.0,1.0
284,Red,Mauricio Ruffy,Jamie Mullarkey,182.88,187.96,155,180.34,190.5,155,27,29,2.54,-2.54,2,KO/TKO,0.0,1.0,0.0
285,Red,Dione Barbosa,Ernesta Kareckaite,175.26,180.34,125,167.64,167.64,125,31,25,7.62,12.7,-6,U-DEC,0.0,0.0,1.0
286,Red,Ismael Bonfim,Vinc Pichel,177.8,182.88,155,172.72,180.34,155,28,41,5.08,2.54,13,U-DEC,0.0,0.0,0.0
287,Red,Alessandro Costa,Kevin Borjas,165.1,172.72,125,162.56,170.18,125,28,26,2.54,2.54,-2,KO/TKO,0.0,0.0,1.0
295,Red,Austin Hubbard,Michal Figlak,177.8,177.8,155,177.8,180.34,155,32,27,0.0,-2.54,-5,U-DEC,,1.0,1.0
296,Red,Don'Tale Mayes,Caio Machado,193.04,198.12,250,198.12,205.74,260,32,29,-5.08,-7.62,-3,U-DEC,1.0,1.0,1.0
299,Red,Ivana Petrovic,Liang Na,165.1,170.18,125,172.72,177.8,125,29,27,-7.62,-7.62,-2,SUB,1.0,1.0,1.0
301,Red,Alex Pereira,Jamahal Hill,193.04,200.66,205,193.04,200.66,205,36,32,0.0,0.0,-4,KO/TKO,,,1.0
302,Red,Zhang Weili,Yan Xiaonan,165.1,160.02,115,162.56,160.02,115,34,34,2.54,0.0,0,U-DEC,0.0,,
305,Red,Bo Nickal,Cody Brundage,182.88,182.88,185,185.42,193.04,185,28,29,-2.54,-10.16,1,SUB,1.0,1.0,0.0
306,Red,Jiri Prochazka,Aleksandar Rakic,193.04,198.12,205,190.5,203.2,205,31,32,2.54,-5.08,1,KO/TKO,0.0,1.0,0.0
311,Red,Jessica Andrade,Marina Rodriguez,167.64,165.1,115,154.94,157.48,125,32,36,12.7,7.62,4,S-DEC,0.0,0.0,0.0
312,Red,King Green,Jim Miller,172.72,180.34,155,177.8,180.34,155,37,40,-5.08,0.0,3,U-DEC,1.0,,0.0
313,Red,Deiveson Figueiredo,Cody Garbrandt,172.72,165.1,135,165.1,172.72,135,36,32,7.62,-7.62,-4,SUB,0.0,1.0,1.0
314,Red,Brendan Allen,Chris Curtis,177.8,190.5,185,187.96,190.5,185,28,36,-10.16,0.0,8,S-DEC,1.0,,0.0
317,Red,Ignacio Bahamondes,Christos Giagos,177.8,180.34,155,190.5,190.5,155,26,34,-12.7,-10.16,8,KO/TKO,1.0,1.0,0.0
321,Red,Norma Dumont,Germaine de Randamie,175.26,180.34,135,170.18,170.18,135,33,39,5.08,10.16,6,U-DEC,0.0,0.0,0.0
328,Red,Chris Weidman,Bruno Silva,182.88,187.96,185,187.96,198.12,185,39,34,-5.08,-10.16,-5,U-DEC,1.0,1.0,1.0
329,Red,Nursulton Ruziboev,Sedriques Dumas,187.96,200.66,185,195.58,193.04,170,30,28,-7.62,7.62,-2,KO/TKO,1.0,0.0,1.0
331,Red,Chidi Njokuani,Rhys McKee,187.96,198.12,170,190.5,203.2,170,35,28,-2.54,-5.08,-7,S-DEC,1.0,1.0,1.0
332,Red,Nate Landwehr,Jamall Emmers,177.8,187.96,145,175.26,182.88,145,35,34,2.54,5.08,-1,KO/TKO,0.0,0.0,1.0
333,Red,Virna Jandiroba,Loopy Godinez,157.48,154.94,115,160.02,162.56,115,35,30,-2.54,-7.62,-5,U-DEC,1.0,1.0,1.0
334,Red,Julio Arce,Herbert Burns,175.26,185.42,145,170.18,177.8,145,34,36,5.08,7.62,2,KO/TKO,0.0,0.0,0.0
335,Red,Dennis Buzukja,Connor Matthews,172.72,180.34,145,175.26,177.8,145,26,31,-2.54,2.54,5,KO/TKO,1.0,0.0,0.0
336,Red,Ibo Aslan,Anton Turkalj,193.04,198.12,205,190.5,195.58,205,27,27,2.54,2.54,0,KO/TKO,0.0,0.0,
340,Red,Karl Williams,Justin Tafa,182.88,187.96,264,190.5,200.66,235,34,30,-7.62,-12.7,-4,U-DEC,1.0,1.0,1.0
341,Red,Edmen Shahbazyan,AJ Dobson,185.42,193.04,185,190.5,190.5,185,26,32,-5.08,2.54,6,KO/TKO,1.0,0.0,0.0
